date,high,low,weather
2024-01-01,8,3,∂‡‘∆
2024-01-02,11,4,∂‡‘∆~“ı
2024-01-03,10,3,«Á
2024-01-04,11,4,«Á
2024-01-05,14,8,∂‡‘∆~–°”Í
2024-01-06,13,0,“ı~«Á
2024-01-07,5,0,“ı~«Á
2024-01-08,9,6,“ı~∂‡‘∆
2024-01-09,13,3,“ı~∂‡‘∆
2024-01-10,7,0,∂‡‘∆
2024-02-01,9,5,–°”Í
2024-02-02,6,4,“ı~–°”Í
2024-02-03,6,4,–°”Í
2024-02-04,6,3,÷–”Í~–°”Í
2024-02-05,3,0,“ı
2024-02-06,3,2,“ı
2024-02-07,5,0,“ı~∂‡‘∆
2024-02-08,7,1,∂‡‘∆~“ı
2024-02-09,9,3,«Á
2024-02-10,14,4,«Á~–°”Í
2024-03-01,6,0,“ı
2024-03-02,9,3,∂‡‘∆~«Á
2024-03-03,14,8,«Á~–°”Í
2024-03-04,11,10,–°”Í
2024-03-05,12,6,–°”Í
2024-03-06,11,4,“ı
2024-03-07,12,5,∂‡‘∆~«Á
2024-03-08,12,4,“ı~«Á
2024-03-09,13,5,«Á
2024-03-10,14,8,«Á~–°”Í
2024-04-01,24,15,∂‡‘∆~÷–”Í
2024-04-02,21,19,–°”Í~÷–”Í
2024-04-03,20,12,“ı
2024-04-04,18,12,“ı~–°”Í
2024-04-05,19,12,«Á~–°”Í
2024-04-06,17,12,“ı~«Á
2024-04-07,15,12,–°”Í
2024-04-08,13,11,–°”Í~“ı
2024-04-09,23,11,–°”Í~∂‡‘∆
2024-04-10,22,14,ŒÌ~“ı
2024-05-01,22,14,“ı~∂‡‘∆
2024-05-02,20,16,“ı~∂‡‘∆
2024-05-03,23,15,∂‡‘∆~“ı
2024-05-04,19,17,“ı~÷–”Í
2024-05-05,21,17,–°”Í
2024-05-06,26,17,“ı~∂‡‘∆
2024-05-07,27,16,“ı~«Á
2024-05-08,24,14,«Á~∂‡‘∆
2024-05-09,23,17,“ı
2024-05-10,26,19,«Á~–°”Í
2024-06-01,25,19,∂‡‘∆
2024-06-02,28,20,∂‡‘∆~“ı
2024-06-03,32,21,∂‡‘∆~“ı
2024-06-04,28,20,∂‡‘∆~“ı
2024-06-05,23,19,–°”Í
2024-06-06,23,19,–°”Í~“ı
2024-06-07,25,20,“ı
2024-06-08,29,21,“ı
2024-06-09,31,22,“ı
2024-06-10,24,21,“ı
2024-07-01,30,26,–°”Í~“ı
2024-07-02,35,26,“ı~–°”Í
2024-07-03,36,28,“ı~«Á
2024-07-04,38,29,«Á
2024-07-05,38,28,«Á~∂‡‘∆
2024-07-06,38,29,“ı
2024-07-07,39,30,∂‡‘∆~“ı
2024-07-08,38,29,“ı~∂‡‘∆
2024-07-09,35,28,“ı
2024-07-10,33,24,“ı~÷–”Í
2024-08-01,40,30,∂‡‘∆~«Á
2024-08-02,40,31,∂‡‘∆~«Á
2024-08-03,39,29,÷–”Í~«Á
2024-08-04,40,29,∂‡‘∆~«Á
2024-08-05,37,28,∂‡‘∆~«Á
2024-08-06,37,29,∂‡‘∆~«Á
2024-08-07,38,29,∂‡‘∆
2024-08-08,37,27,±©”Í~“ı
2024-08-09,38,29,“ı~∂‡‘∆
2024-08-10,37,29,“ı~«Á
2024-09-01,36,28,“ı~«Á
2024-09-02,36,27,“ı~–°”Í
2024-09-03,29,26,÷–”Í~–°”Í
2024-09-04,34,27,“ı~∂‡‘∆
2024-09-05,35,27,“ı
2024-09-06,33,27,“ı~∂‡‘∆
2024-09-07,34,27,“ı~∂‡‘∆
2024-09-08,35,27,∂‡‘∆
2024-09-09,35,27,“ı~∂‡‘∆
2024-09-10,31,27,÷–”Í
2024-10-01,24,18,–°”Í~“ı
2024-10-02,23,17,∂‡‘∆~“ı
2024-10-03,24,18,“ı
2024-10-04,24,20,“ı~–°”Í
2024-10-05,23,20,–°”Í~±©”Í
2024-10-06,20,18,–°”Í
2024-10-07,20,16,–°”Í~“ı
2024-10-08,23,15,∂‡‘∆~«Á
2024-10-09,23,15,“ı~«Á
2024-10-10,24,17,∂‡‘∆
2024-11-01,20,17,±©”Í~–°”Í
2024-11-02,22,13,∂‡‘∆~“ı
2024-11-03,24,15,∂‡‘∆
2024-11-04,23,14,∂‡‘∆
2024-11-05,19,11,∂‡‘∆~«Á
2024-11-06,18,12,«Á
2024-11-07,17,13,“ı
2024-11-08,20,17,“ı
2024-11-09,22,16,“ı~–°”Í
2024-11-10,18,14,–°”Í~«Á
2024-12-01,18,9,«Á
2024-12-02,20,10,«Á
2024-12-03,16,9,∂‡‘∆~“ı
2024-12-04,14,9,“ı
2024-12-05,11,7,∂‡‘∆
2024-12-06,12,8,∂‡‘∆
2024-12-07,13,4,∂‡‘∆~“ı
2024-12-08,9,5,«Á
2024-12-09,11,8,“ı
2024-12-10,10,6,–°”Í~÷–”Í
